Marcas , AnoFabricação, Anomodelo, AnoModelo1
chevrolet,2020,2021,2020,
chevrolet,2019,2020,2019,
chevrolet,2018,2019,2018,
chevrolet,2017,2018,2017,
chevrolet,2016,2017,2016,
chevrolet,2015,2016,2015,
chevrolet,2014,2015,2014,
chevrolet,2013,2014,2013,
chevrolet,2012,2013,2012,
chevrolet,2011,2012,2011,
chevrolet,2010,2011,2010,
chevrolet,2009,2010,2009,
chevrolet,2008,2009,2008,
chevrolet,2007,2008,2007,
chevrolet,2006,2007,2006,
chevrolet,2005,2006,2005,
fiat,2020,2021,2020,
fiat,2019,2020,2019,
fiat,2018,2019,2018,
fiat,2017,2018,2017,
fiat,2016,2017,2016,
fiat,2015,2016,2015,
fiat,2014,2015,2014,
fiat,2013,2014,2013,
fiat,2012,2013,2012,
fiat,2011,2012,2011,
fiat,2010,2011,2010,
fiat,2009,2010,2009,
fiat,2008,2009,2008,
fiat,2007,2008,2007,
fiat,2006,2007,2006,
fiat,2005,2006,2005,
ford,2020,2021,2020,
ford,2019,2020,2019,
ford,2018,2019,2018,
ford,2017,2018,2017,
ford,2016,2017,2016,
ford,2015,2016,2015,
ford,2014,2015,2014,
ford,2013,2014,2013,
ford,2012,2013,2012,
ford,2011,2012,2011,
ford,2010,2011,2010,
ford,2009,2010,2009,
ford,2008,2009,2008,
ford,2007,2008,2007,
ford,2006,2007,2006,
ford,2005,2006,2005,
honda,2020,2021,2020,
honda,2019,2020,2019,
honda,2018,2019,2018,
honda,2017,2018,2017,
honda,2016,2017,2016,
honda,2015,2016,2015,
honda,2014,2015,2014,
honda,2013,2014,2013,
honda,2012,2013,2012,
honda,2011,2012,2011,
honda,2010,2011,2010,
honda,2009,2010,2009,
honda,2008,2009,2008,
honda,2007,2008,2007,
honda,2006,2007,2006,
honda,2005,2006,2005,
hyundai,2020,2021,2020,
hyundai,2019,2020,2019,
hyundai,2018,2019,2018,
hyundai,2017,2018,2017,
hyundai,2016,2017,2016,
hyundai,2015,2016,2015,
hyundai,2014,2015,2014,
hyundai,2013,2014,2013,
hyundai,2012,2013,2012,
hyundai,2011,2012,2011,
hyundai,2010,2011,2010,
hyundai,2009,2010,2009,
hyundai,2008,2009,2008,
hyundai,2007,2008,2007,
hyundai,2006,2007,2006,
hyundai,2005,2006,2005,
nissan,2020,2021,2020,
nissan,2019,2020,2019,
nissan,2018,2019,2018,
nissan,2017,2018,2017,
nissan,2016,2017,2016,
nissan,2015,2016,2015,
nissan,2014,2015,2014,
nissan,2013,2014,2013,
nissan,2012,2013,2012,
nissan,2011,2012,2011,
nissan,2010,2011,2010,
nissan,2009,2010,2009,
nissan,2008,2009,2008,
